Data,Salário mínimo real - R$ (do último mês) - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12,
2016.12,958.96842199005,
2017.01,1016.81306975872,
2017.02,1014.37808639493,
2017.03,1011.1414189395,
2017.04,1010.33345349315,
2017.05,1006.70850851969,
2017.06,1009.73691531733,
2017.07,1008.02402298598,
2017.08,1008.32623133978,
2017.09,1008.52780426565,
2017.10,1004.80970164117,
2017.11,1003.00378342055,
2017.12,1000.40225702569,
2018.01,1016.21501151445,
2018.02,1014.38873770149,
2018.03,1013.68006930904,
2018.04,1011.55600850762,
2018.05,1007.22583795295,
2018.06,993.02647630279,
2018.07,990.550363707892,
2018.08,990.550363707892,
2018.09,987.586924922708,
2018.10,983.653099290671,
2018.11,986.117524415459,
2018.12,984.739325317096,
2019.01,1026.46139533818,
2019.02,1020.94793402405,
2019.03,1013.14595958263,
2019.04,1007.10370950692,
2019.05,1005.59592250743,
2019.06,1005.49619106252,
2019.07,1004.49245235402,
2019.08,1003.2883600304,
2019.09,1003.79065175441,
2019.10,1003.38952762066,
2019.11,998,
